time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-03-15,635.55,575.3,602.98,172800.04,109391363.49,633.05,multiply,BTC
2024-03-16,605.36,563.92,633.05,122694.77,70654898.99,575.86,multiply,BTC
2024-03-17,607.08,564.9,575.86,81145.06,46354386.89,571.25,multiply,BTC
2024-03-18,580.56,546.22,571.25,86032.03,47777366.52,555.34,multiply,BTC
2024-03-19,513.72,489.26,555.34,101713.9,51610184.14,507.41,multiply,BTC
2024-03-20,574.62,546.79,507.41,71610.18,39870338.8,556.77,multiply,BTC
2024-03-21,558.66,531.28,556.77,59808.66,33114839.84,553.68,multiply,BTC
2024-03-22,570.4,537.66,553.68,94607.08,52411876.74,554.0,multiply,BTC
2024-03-23,561.45,546.21,554.0,39828.71,21979318.65,551.85,multiply,BTC
2024-03-24,584.58,567.17,551.85,26243.02,14900156.18,567.78,multiply,BTC
2024-03-25,612.89,582.76,567.78,60716.9,35646587.43,587.09,multiply,BTC
2024-03-26,591.91,574.06,587.09,37325.9,21659805.98,580.29,multiply,BTC
2024-03-27,577.0,565.89,580.29,35954.7,20638525.64,574.01,multiply,BTC
2024-03-28,599.8,579.84,574.01,43518.76,25390917.64,583.45,multiply,BTC
2024-03-29,619.84,575.73,583.45,93804.13,57494034.97,612.92,multiply,BTC
2024-03-30,610.79,594.64,612.92,37718.97,22668212.45,600.98,multiply,BTC
2024-03-31,620.85,606.59,600.98,26633.31,16164932.42,606.94,multiply,BTC
2024-04-01,595.4,575.75,606.94,51949.71,29935323.93,576.24,multiply,BTC
2024-04-02,558.3,540.17,576.24,54903.46,30271652.62,551.36,multiply,BTC
2024-04-03,563.72,550.06,551.36,36626.41,20576927.39,561.81,multiply,BTC
2024-04-04,608.29,583.21,561.81,75477.78,44215629.3,585.81,multiply,BTC
2024-04-05,590.66,573.56,585.81,46846.4,27091621.5,578.31,multiply,BTC
2024-04-06,593.83,583.63,578.31,21475.52,12578175.58,585.7,multiply,BTC
2024-04-07,591.27,577.26,585.7,22902.04,13368177.37,583.71,multiply,BTC
2024-04-08,603.62,585.0,583.71,38711.95,22696286.38,586.29,multiply,BTC
2024-04-09,582.28,562.64,586.29,47071.61,27317631.57,580.34,multiply,BTC
2024-04-10,628.38,589.68,580.34,61046.64,37226657.07,609.81,multiply,BTC
2024-04-11,611.68,589.83,609.81,49687.29,30044822.23,604.68,multiply,BTC
2024-04-12,601.67,578.03,604.68,119254.0,71062933.39,595.9,multiply,BTC
2024-04-13,570.56,531.31,595.9,118125.88,65446562.9,554.04,multiply,BTC
2024-04-14,578.67,560.78,554.04,54464.66,30886751.49,567.1,multiply,BTC
2024-04-15,558.84,543.49,567.1,56007.14,30965200.16,552.88,multiply,BTC
2024-04-16,556.87,537.28,552.88,38529.26,20727909.51,537.98,multiply,BTC
2024-04-17,538.62,513.93,537.98,77539.58,41412943.24,534.09,multiply,BTC
2024-04-18,573.13,548.48,534.09,68721.79,37954590.72,552.29,multiply,BTC
2024-04-19,562.69,547.43,552.29,56162.57,31143388.4,554.52,multiply,BTC
2024-04-20,575.13,563.17,554.52,27076.76,15468877.56,571.3,multiply,BTC
2024-04-21,582.65,567.91,571.3,31400.66,18208005.71,579.86,multiply,BTC
2024-04-22,615.06,596.14,579.86,58999.41,35684631.4,604.83,multiply,BTC
2024-04-23,620.98,597.4,604.83,81589.94,49457394.54,606.17,multiply,BTC
2024-04-24,615.39,580.88,606.17,60468.18,36799701.19,608.58,multiply,BTC
2024-04-25,619.8,604.84,608.58,48332.22,29628984.15,613.03,multiply,BTC
2024-04-26,610.22,595.56,613.03,36617.55,21887258.28,597.73,multiply,BTC
2024-04-27,624.29,591.44,597.53,34577.64,20596738.79,595.67,multiply,ETH
